score,submit,day
93.3,early,2
76.7,early,1
66.7,early,0
70,early,1
43.3,early,4
73.3,early,0
43.3,early,4
73.3,early,1
66.7,early,4
50,early,3
50,early,4
76.7,early,1
46.7,early,5
56.7,early,5
50,early,5
76.7,early,1
63.3,early,5
70,early,2
60,early,5
73.3,early,0
63.3,early,2
66.7,early,5
76.7,early,1
56.7,early,5
70,early,5
86.7,early,2
43.3,early,4
100,early,1
93.3,early,3
70,early,2
76.7,early,1
73.3,early,2
63.3,early,2
73.3,early,1
86.7,early,2
30,early,5
40,early,5
66.7,early,5
86.7,early,2
100,early,1
93.3,early,3
63.3,early,2
80,early,4
73.3,early,1
76.7,early,1
43.3,early,5
93.3,early,2
76.7,early,5
70,early,1
70,early,4
70,late,7
66.7,late,6
76.7,late,7
43.3,late,7
36.7,late,7
56.7,late,6
63.3,late,7
56.7,late,6
83.3,late,6
50,late,7
90,late,7
40,late,6
56.7,late,6
83.3,late,6
43.3,late,6
70,late,6
66.7,late,6
40,late,6
36.7,late,7
83.3,late,6
40,late,7
83.3,late,6
43.3,late,6
83.3,late,6
50,late,6
50,late,6
83.3,late,7
23.3,late,6
56.7,late,6
60,late,6
53.3,late,6
46.7,late,7
90,late,7
56.7,late,6
66.7,late,6
56.7,late,6
70,late,6
76.7,late,6
46.7,late,6
60,late,7
70,late,6
83.3,late,6
60,late,6
50,late,6
63.3,late,7
56.7,late,7
56.7,late,7
66.7,late,6
46.7,late,7
46.7,late,7
